# time pixelation values
# data save on: 2024-05-14T14:20:45-03:00
equator	age	stage-pixel	value
180	0	795	101
180	0	796	101
180	0	797	101
180	0	798	101
180	0	799	101
180	0	800	101
180	0	801	101
180	0	802	101
180	0	803	101
180	0	804	101
180	0	805	101
180	0	806	101
180	0	807	101
180	0	808	101
180	0	809	101
180	0	810	101
180	0	811	101
180	0	812	101
180	0	813	101
180	0	814	101
180	0	815	101
180	0	816	101
180	0	817	101
180	0	818	101
180	0	819	101
180	0	820	101
180	0	821	101
180	0	822	101
180	0	828	101
180	0	838	101
180	0	847	101
180	0	848	101
180	0	849	101
180	0	850	101
180	0	851	101
180	0	852	101
180	0	853	101
180	0	854	101
180	0	855	101
180	0	856	101
180	0	857	101
180	0	858	101
180	0	862	101
180	0	863	101
180	0	864	101
180	0	865	101
180	0	882	101
180	0	886	101
180	0	887	101
180	0	890	101
180	0	891	101
180	0	892	101
180	0	893	105
180	0	894	105
180	0	895	105
180	0	896	105
180	0	897	105
180	0	898	105
180	0	899	101
180	0	900	101
180	0	901	101
180	0	902	101
180	0	903	101
180	0	904	101
180	0	905	101
180	0	906	101
180	0	907	101
180	0	908	101
180	0	909	101
180	0	910	101
180	0	911	101
180	0	912	101
180	0	913	101
180	0	914	101
180	0	915	101
180	0	916	101
180	0	917	101
180	0	918	101
180	0	919	101
180	0	920	101
180	0	921	101
180	0	927	101
180	0	928	101
180	0	948	101
180	0	949	101
180	0	950	101
180	0	951	101
180	0	952	101
180	0	953	101
180	0	954	101
180	0	955	101
180	0	956	101
180	0	957	101
180	0	958	101
180	0	959	101
180	0	960	101
180	0	961	101
180	0	962	101
180	0	964	101
180	0	965	101
180	0	966	101
180	0	967	101
180	0	968	101
180	0	969	101
180	0	970	101
180	0	985	101
180	0	990	101
180	0	991	101
180	0	992	101
180	0	993	101
180	0	994	101
180	0	995	101
180	0	996	101
180	0	997	101
180	0	998	105
180	0	999	105
180	0	1000	105
180	0	1001	105
180	0	1002	105
180	0	1003	105
180	0	1004	101
180	0	1005	101
180	0	1006	101
180	0	1007	101
180	0	1008	101
180	0	1009	101
180	0	1010	101
180	0	1011	101
180	0	1012	101
180	0	1013	101
180	0	1014	101
180	0	1015	101
180	0	1016	101
180	0	1017	101
180	0	1018	101
180	0	1019	101
180	0	1020	101
180	0	1021	101
180	0	1022	101
180	0	1023	101
180	0	1024	101
180	0	1025	101
180	0	1026	101
180	0	1027	101
180	0	1028	101
180	0	1033	101
180	0	1034	101
180	0	1056	101
180	0	1057	101
180	0	1058	101
180	0	1059	101
180	0	1060	101
180	0	1061	101
180	0	1062	101
180	0	1063	101
180	0	1064	101
180	0	1065	101
180	0	1066	101
180	0	1067	101
180	0	1068	101
180	0	1069	101
180	0	1070	101
180	0	1071	101
180	0	1072	101
180	0	1073	101
180	0	1074	101
180	0	1075	101
180	0	1076	101
180	0	1077	101
180	0	1078	101
180	0	1092	101
180	0	1094	101
180	0	1095	101
180	0	1097	101
180	0	1098	101
180	0	1099	101
180	0	1100	101
180	0	1101	101
180	0	1102	101
180	0	1103	105
180	0	1104	105
180	0	1105	105
180	0	1106	105
180	0	1107	105
180	0	1108	105
180	0	1109	105
180	0	1110	105
180	0	1111	105
180	0	1112	105
180	0	1113	105
180	0	1114	105
180	0	1115	105
180	0	1116	105
180	0	1117	105
180	0	1118	105
180	0	1119	105
180	0	1120	101
180	0	1121	101
180	0	1122	101
180	0	1123	101
180	0	1124	101
180	0	1125	101
180	0	1126	101
180	0	1127	101
180	0	1128	101
180	0	1129	101
180	0	1130	101
180	0	1131	101
180	0	1132	101
180	0	1133	101
180	0	1134	101
180	0	1135	101
180	0	1136	101
180	0	1137	101
180	0	1138	101
180	0	1139	101
180	0	1144	101
180	0	1170	101
180	0	1171	101
180	0	1172	101
180	0	1173	101
180	0	1174	101
180	0	1175	101
180	0	1176	101
180	0	1177	101
180	0	1178	101
180	0	1179	101
180	0	1180	101
180	0	1181	101
180	0	1182	101
180	0	1183	101
180	0	1184	101
180	0	1185	101
180	0	1186	101
180	0	1187	101
180	0	1191	101
180	0	1210	101
180	0	1211	101
180	0	1212	101
180	0	1213	101
180	0	1214	101
180	0	1215	101
180	0	1216	101
180	0	1217	101
180	0	1218	105
180	0	1219	105
180	0	1220	105
180	0	1221	105
180	0	1222	105
180	0	1223	105
